text,labels,domain,source
"THE HAGUE Reuters - After blocking U.N. Security Council action against Syria, Russia has proposed changing the rules for inspectors at the world s chemical weapons body in The Hague, a move Western diplomats and experts said would undermine its work. It is the latest confrontation between Russia, a close ally and military backer of Syrian President Bashar al-Assad, and the West over an international inquiry established to determine who is behind ongoing chemical attacks in Syria s civil war. It came as Russian President Vladimir Putin hosted Assad late on Monday for talks aimed at ending a conflict that has now raged for nearly seven years. L8N1NR3VO At the Organisation for the Prohibition of Chemical Weapons OPCW , a draft Russian-Iranian decision circulated among the 41 members of the b",,General,argilla_news
"Reuters - Highlights of the day for U.S. President Donald Trump s administration on Friday Trump backs a decision by his former national security adviser, Michael Flynn, to seek immunity in congressional investigations of possible ties between his campaign and Russia, but there is no immediate sign the request will be granted. The Trump administration slams China on a range of trade issues from its chronic industrial overcapacity to forced technology transfers and longstanding bans on U.S. beef and electronic payment services. Beijing seeks to play down tensions with the United States and put on a positive face ahead of President Xi Jinping s first meeting with Trump next week. Senate Democrats step closer to having enough votes to block a confirmation vote on Trump s Supreme Court nominee",,General,argilla_news
"WASHINGTON Reuters - Democratic presidential front-runner Hillary Clinton on Tuesday released her personal financial disclosure form, covering Jan. 1, 2015, to the present, with a call to Republican Donald Trump to make available his income tax returns. The true test for Donald Trump is whether he will adhere to the precedent followed by every presidential candidate in the modern era and make his tax returns available, as Hillary Clinton has done, spokeswoman Christina Reynolds said in a statement. Clinton s own disclosure form showed more than 5 million in royalties from her memoir Hard Choices. Trump earlier in the day announced that he had filed his personal financial disclosure to the Federal Election Commission on Monday.",,General,argilla_news
"WASHINGTON Reuters - President Donald Trump on Wednesday seized on the deadly New York City truck attack to step up demands for stricter U.S. immigration laws, asking Congress to end a visa program that let the Uzbek suspect into the country and saying he might send him to Guantanamo Bay. In a day of harsh recriminations over Tuesday s attack that killed eight people in America s largest city, Trump appeared to assign some blame for an incident that authorities have labeled as terrorism to top Senate Democrat Chuck Schumer, who accused Trump of politicizing a national tragedy. Trump said he would consider sending the suspect, identified by authorities as Sayfullo Saipov, to the military prison at the U.S. naval base at Guantanamo Bay, Cuba, which his Democratic predecessor Barack Obama tri",,General,argilla_news
"WASHINGTON Reuters - The U.S. foreign service has seen its top ranks shrink under Secretary of State Rex Tillerson, according to a letter written by the head of the union representing U.S. diplomats and seen by Reuters on Wednesday. The number of career ambassadors, the foreign service s highest personal rank granted to only a handful of U.S. diplomats, has dropped by 60 percent, according to the letter by American Foreign Service Association AFSA President Barbara Stephenson. The number of career ambassadors declined to two from five with this year s retirement of William Brownfield, Kristie Kenney and Victoria Nuland, who held top State Department jobs. The next rung down, with the rank of career minister, has shrunk to 19 from 33, the letter said, and the one beneath, of minister-counse",,General,argilla_news
"LONDON Reuters - Britain s parliament backed a second reading of legislation to sever ties with the European Union early on Tuesday, a reprieve for Prime Minister Theresa May who now faces demands by lawmakers for concessions before it becomes law. After more than 13 hours of speeches for and against the legislation, which May says is essential for Brexit but critics describe as a Conservative government power grab, lawmakers voted 326 to 290 in favor of moving the EU withdrawal bill, or repeal bill, to the next stage of a lengthy lawmaking process. Many fell in step with the government which said a vote against the legislation would force Britain into a chaotic exit from the EU, rather than a smooth departure, as the country would lack laws and a regulatory framework to steer the process.",,General,argilla_news
"BEIRUT Reuters - Jihadists launched an offensive against government-held parts of northwestern Syria near Hama on Tuesday in their biggest attack there since March, triggering heavy air strikes on rebel territory, the Syrian Observatory for Human Rights said. It said air strikes hit three hospitals, a medical center and premises used by a rescue service in rebel-held Idlib. A Syrian military source denied the report, saying only insurgent convoys and positions had been hit. The insurgent attack north of Hama revived hostilities in the northwestern region near the Turkish border that has been relatively calm in recent months as Russian-led diplomacy seeks to shore up ceasefires in western Syria. Islamist militants who hold sway in Idlib reject the diplomacy, including a tripartite deal stru",,General,argilla_news
"QAMISHLI, Syria Reuters - Kurdish-led authorities held local elections on Friday in areas they control in northern Syria, pushing ahead with autonomy plans opposed by both the government of President Bashar al-Assad and by Turkey. Kurdish forces and their political allies now hold the largest part of Syria outside the grip of Assad s government. They have captured vast territory from Islamic State with the support of U.S. arms, jets and ground advisers, although Washington opposes their autonomy drive. Kurdish leaders say their goal is to establish self-rule within Syria, not secession. But their influence has infuriated Ankara, which considers the Kurdish YPG militia to be an offshoot of the banned Kurdistan Workers Party PKK that has run a decades-long insurgency in Turkey. Assad has vow",,General,argilla_news
"BRUSSELS Reuters - The European Union is set to agree on Monday to ban business ties with North Korea, part of a new package of sanctions to isolate Pyongyang over its nuclear and missile programs. The practical impact of the moves is likely to be mostly symbolic Brussels will impose an oil embargo and a ban on EU investment, but it sells no crude to North Korea and European companies have no substantial investments there. North Korean workers in the EU, of which Brussels estimates there are about 400 mainly in Poland, will face a lower limit on the amount for money they can send home and their work visas will not be renewed once they expire. The measures to be agreed by EU foreign ministers in Luxembourg go further than the latest round of multi-lateral sanctions imposed by the United Nat",,General,argilla_news
"DUBLIN Reuters - Ireland s finance minister said the prospect of an election and period without government during Brexit talks is unconscionable, telling the party propping the government up that it needed to be aware of the consequences of causing an election. At a time when issues and decisions will need to be made that will reverberate in our country for decades to come, the prospect of either an election taking place or a government not being in place afterwards is actually unconscionable, Paschal Donohoe told national broadcaster RTE.",,General,argilla_news
"JERUSALEM Reuters - Israel on Thursday expressed disappointment at the decision of U.S. President Donald Trump to sign a waiver to delay relocating the U.S. Embassy in Israel to Jerusalem from Tel Aviv but said it hoped a move could take place later. Though Israel is disappointed that the embassy will not move at this time, we appreciate today s expression of President Trump s friendship to Israel and his commitment to moving the embassy in the future, part of a statement from Israeli Prime Minister Benjamin Netanyahu said. It added that Israel s consistent position is that the American embassy, like the embassies of all countries with whom we have diplomatic relations, should be in Jerusalem, our eternal capital.",,General,argilla_news
"SITTWE, Myanmar Reuters - Thousands of Rohingya Muslims trapped by hostile Buddhists in northwestern Myanmar have enough food and will not be granted the safe passage they requested from two remote villages, a senior government official said on Tuesday. The Rohingya villagers said they wanted to leave but needed government protection from ethnic Rakhine Buddhists who had threatened to kill them. They also said they were running short of food since Aug. 25, when Rohingya militants launched deadly attacks in Rakhine state, provoking a fierce crackdown by the Myanmar military. At least 420,000 Rohingya have since fled into neighboring Bangladesh to escape what a senior United Nations official has called a textbook example of ethnic cleansing . Tin Maung Swe, secretary of the Rakhine state gov",,General,argilla_news
"BELGRADE Reuters - British Foreign Secretary Boris Johnson, setting aside his previous hostility toward Donald Trump, said on Thursday the U.S. Republican s presidential election victory offered economic opportunities and there was no need for Europeans to be despondent about it. I may respectfully say to my European friends and colleagues that it s time we snapped out of general doom and gloom about this election, Johnson said after meeting Serbian Prime Minister Aleksandar Vucic. He is after all a deal maker. He wants to do a free trade deal with the UK, Johnson told reporters. Trump s upset victory over Democrat Hillary Clinton has delighted far-right politicians in France, the Netherlands and Austria but worried some mainstream politicians who fear it may be part of a populist, anti-es",,General,argilla_news
"WASHINGTON NEW YORK Reuters - Backers of Republican presidential hopeful Marco Rubio have spent nearly as much money in the weeks leading up to Super Tuesday s nominating contests as all of his rivals combined, including an outsized spend in Texas. The Super PAC supporting the U.S. senator from Florida, Conservative Solutions, poured 4.2 million into 10 Super Tuesday states between Feb. 10 and Feb. 27, almost twice as much as groups backing rival Ted Cruz, according to a Reuters analysis of Federal Election Commission filings. Super PACs supporting all candidates combined, including Rubio, spent 8.8 million in those states during that period. The biggest chunk of money from Rubio's allied Super PAC was 1.5 million targeting U.S. Senator Cruz's home state of Texas, the biggest prize among t",,General,argilla_news
"LIMA Reuters - The center-right government of Peru s embattled President Pedro Pablo Kuczynski canceled its scheduled auction of a 2 billion copper project, Michiquillay, on Wednesday amid a growing political crisis, two government sources said. The regional bloc Organization of American States said earlier on Wednesday that it was preparing to send a delegation to Peru, the world s second biggest copper producer, to observe the political situation at the request of Kuczynski ahead of a vote in Congress to oust him on Thursday.",,General,argilla_news
"WASHINGTON Reuters - The FBI plans to hand over some of its notes from its interview with U.S. Democratic presidential candidate Hillary Clinton regarding her use of private email while secretary of state to news outlets that requested them, CNN reported on Tuesday. However, the Federal Bureau of Investigation will not yet release other notes from the law enforcement agency s interviews with Clinton aides or turn over other investigative material, CNN said, citing unnamed sources. The materials could be released as soon as Wednesday to media companies that formally sought them under the Freedom of Information Act FOIA , according to CNN. FBI representatives declined to confirm the report to Reuters. In addition to the notes, CNN said the FBI will give the news outlets the roughly 30-page r",,General,argilla_news
"HARARE Reuters - Retired correspondent Cris Chinaka worked for Reuters in Harare from 1990 to 2015. Before that he reported on Zimbabwe for the ZIANA news agency and MOTO, a weekly newspaper. Here he reflects on a third of a century of covering Uncle Bob . There are two images of Robert Gabriel Mugabe that jump out of my memory to illustrate the contrasting sides of the man who led Zimbabwe for 37 years. The first is of a combative and ebullient 57-year-old, dressed in an olive green military-type suit in the dying days of what was then white-run Rhodesia. Waving a clenched fist in the air, he was scolding his opponents and rallying his supporters as they marched confidently towards the birth of a new nation Zimbabwe. The second is of a shrunken 93-year-old slumped in a cushioned seat, sno",,General,argilla_news
"SEOUL Reuters - Ten North Koreans, including a four-year-old child, have been detained in China, where they face being deported back to the North, two sources with direct knowledge of the situation told Reuters. The group was trying to defect to South Korea but were detained by Chinese police in the northeastern city of Shenyang in Liaoning province, according to the sources, both of whom requested anonymity citing the sensitivity of the situation. China s foreign ministry spokeswoman Hua Chunying said in a daily news briefing on Tuesday she was unaware of details of the case. She said China consistently upholds the handling of such matters in accordance with domestic and international law and humanitarian principles. One of the two sources told Reuters on Tuesday he was able to confirm th",,General,argilla_news
"WASHINGTON Reuters - Top aides to President Donald Trump demurred on Sunday over where U.S. policy on Syria was headed after last week s retaliatory missile strike, leaving open questions about whether removing Syrian leader Bashar al-Assad from power was now one of Trump s goals. After the United States launched cruise missile strikes on a Syrian air base alleged to have launched a deadly poison gas attack on Syrian civilians, Trump administration officials said they were prepared to take further actions if necessary. Trump s United Nations ambassador, Nikki Haley, said the United States had multiple priorities in Syria and that stability there was impossible with Assad as president. In no way do we see peace in that area with Assad as the head of the Syrian government, Haley told NBC s M",,General,argilla_news
"WASHINGTON Reuters - Republican presidential candidate Chris Christie has dismissed him as a puppet and former mentor Jeb Bush called him not fit to serve as up-and-coming Republican Marco Rubio becomes the man to beat in next week s New Hampshire primary. Rubio s unexpectedly strong third-place showing in Monday s Iowa caucuses has made him the target of rival Republican candidates who focused their campaigns on the New England state s first-in-the-nation primary. Christie, the New Jersey governor, former Florida Governor Jeb Bush and Ohio Governor John Kasich all hope for a strong showing in New Hampshire to boost their flagging campaigns to become the Republican nominee in the Nov. 8 election to replace Democratic President Barack Obama. While Christie said on Thursday he would not be o",,General,argilla_news
"NEW YORK WASHINGTON Reuters - Longtime Donald Trump supporter and activist investor Carl Icahn confirmed on Tuesday that the president-elect is looking at Wall Street veteran Steven Mnuchin as his choice for treasury secretary and billionaire Wilbur Ross for commerce secretary. Spoke to realDonaldTrump. Steve Mnuchin and Wilbur Ross are being considered for Treasury and Commerce. Both would be great choices, Icahn wrote on Twitter. Icahn, a close ally of Trump who was often praised by the Republican during the presidential campaign for his business acumen, also tweeted that both Mnuchin and Ross were friends and two of the smartest people I know. Mnuchin, a former Goldman Sachs partner and Trump s campaign finance manager, has been considered a front-runner for the Treasury post for much o",,General,argilla_news
"WASHINGTON Reuters - U.S. President Donald Trump s son-in-law and close adviser, Jared Kushner, had at least three previously undisclosed contacts with the Russian ambassador to the United States during and after the 2016 presidential campaign, seven current and former U.S. officials told Reuters. Those contacts included two phone calls between April and November last year, two of the sources said. By early this year, Kushner had become a focus of the FBI investigation into whether there was any collusion between the Trump campaign and the Kremlin, said two other sources - one current and one former law enforcement official. Kushner initially had come to the attention of FBI investigators last year as they began scrutinizing former national security adviser Michael Flynn s connections with",,General,argilla_news
"OTTAWA Reuters - Canada will impose targeted sanctions against 40 Venezuelan senior officials, including President Nicol s Maduro, to punish them for anti-democratic behavior, the foreign ministry said on Friday. Canada s move, which followed a similar decision by the United States, came after months of protests against Maduro s government in which at least 125 people have been killed. Critics say he has plunged the nation into its worst-ever economic crisis and brought it to the brink of dictatorship. Canada will not stand by silently as the government of Venezuela robs its people of their fundamental democratic rights, Foreign Minister Chrystia Freeland said in a statement. The measures include freezing the assets of the officials and banning Canadians from having any dealings with them.",,General,argilla_news
"KINSHASA Reuters - U.S. Ambassador to the United Nations Nikki Haley said on Friday she did not want to take the job of Secretary of State Rex Tillerson, whose tenure has been dogged by rumors of rifts with President Donald Trump. Asked by reporters whether she wanted to be the top U.S. diplomat, Haley said I just don t want to keep having this conversation. The focus is, I really want to do a good job now in what I m doing. We have a secretary of state. Tillerson s not going anywhere, so it s really not been a topic of conversation, she told reporters in Kinshasa at the end of a week-long trip to Africa. If she was offered the job, she said I would say no. Tillerson, a former chief executive officer of Exxon Mobil Corp, said on Oct. 4 he had never considered resigning, but failed to addre",,General,argilla_news
"Reuters - The communications director for U.S. Senate candidate Roy Moore has resigned amid the Alabama Republican s efforts to combat allegations of sexual misconduct that have roiled his campaign. News of the departure of John Rogers came a day after U.S. President Donald Trump defended Moore from accusations by multiple women that Moore pursued them as teenagers when he was in his 30s, including one who has said he initiated a sexual encounter with her when she was 14. Moore has denied any wrongdoing and has accused the women of conspiring with Democrats, media outlets and establishment Republicans in an effort to tarnish his reputation. Reuters has not independently confirmed any of the accusations. As we all know, campaigns make changes throughout the duration of the campaign, campaig",,General,argilla_news
"WASHINGTON Reuters - Congressional Republicans on Friday unveiled the final version of their dramatic U.S. tax overhaul - debt-financed cuts for businesses, the wealthy and some middle-class Americans - and picked up crucial support from two wavering senators ahead of planned votes by lawmakers early next week. Passage of the biggest U.S. tax rewrite since 1986 would provide Republican lawmakers and President Donald Trump their first major legislative victory since he took office in January. Prospects for approval soared after Republican senators Marco Rubio and Bob Corker pledged support. Three Republican senators, enough to defeat the measure in a Senate that Trump s party controls with a slim 52-48 majority, remained uncommitted Susan Collins, Jeff Flake and Mike Lee. The final version ",,General,argilla_news
"PARIS Reuters - From text messages at 2 a.m. to clockwork meetings and tight deadlines, 39-year-old Emmanuel Macron is shaking up how the French presidency is run, raising the tempo and stretching the limits of the largely youthful team around him. France s political magazines are full of snippets every week about the inner workings of Macron s Elysee, whether the comings and goings of his rescue dog Nemo or details of messages sent to the foreign minister in the dead of night. But foreign diplomats dealing with the administration also describe a different pace and style of work, saying the young president, with a background in investment banking and civil service, has injected fresh elan into the role. Half a dozen senior European envoys, speaking to Reuters on condition of anonymity, exp",,General,argilla_news
"TOKYO Reuters - Japanese Prime Minister Shinzo Abe urged North Korea on Monday to refrain from taking further provocative actions, comply with U.N. resolutions and abandon its nuclear missile development. Tensions on the Korean peninsula have escalated as U.S. President Donald Trump takes a hard rhetorical line with North Korean leader Kim Jong Un, who has rebuffed admonitions from China and proceeded with missile tests. North Korea launched a ballistic missile on Sunday but it blew up almost immediately, the U.S. Pacific Command said. Abe told parliament he would exchange views on North Korea with Russian President Vladimir Putin when they hold a summit meeting later this month. He also said the government was considering measures to respond to contingencies stemming from a potential cris",,General,argilla_news
"BHUBANESWAR, India Reuters - Flames swept through an illegal firecracker workshop in the eastern Indian state of Odisha on Wednesday, killing at least six people, police said. The fire broke out as workers were making crackers for Thursday s celebrations of Diwali, the Hindu festival of lights, district police chief Niti Shekhar told Reuters. The blaze injured seven others, leaving some with serious burns, he said. They had stocked crackers in the cottage illegally. Some workers were making the crackers and some were present to purchase the crackers, he added. Local television channels showed fire and smoke billowing out of the workshop in a cottage in Bahabalpur village, about 200 km 120 miles from state capital Bhubaneswar.",,General,argilla_news
"WASHINGTON Reuters - A Kurdish referendum for independence has decreased focus on fighting Islamic State militants in Iraq, a spokesman for the U.S.-led coalition fighting the militant group said. The focus which used to be like a laser beam on ISIS is now not 100 percent there, so there has been an effect on the overall mission to defeat ISIS in Iraq as a result of the referendum, said coalition spokesman Colonel Ryan Dillon, using an acronym for Islamic State. Dillon added that there had been no impact on current military operations out of Erbil s airport.",,General,argilla_news
"Reuters - U.S. President-elect Donald Trump said on Thursday he would nominate retired Marine Corps General James Mattis for defense secretary, the latest of about a dozen picks he has announced for high-level positions since winning the Nov. 8 presidential election. Below are people mentioned as contenders for senior roles as Trump works to form his administration before taking office on Jan. 20, according to Reuters sources and media reports. See the end of list for posts already filled. Mitt Romney, 2012 Republican presidential nominee and former Massachusetts governor Rudy Giuliani, Republican former mayor of New York City John Bolton, former U.S. ambassador to the United Nations under Republican President George W. Bush Bob Corker, Republican U.S. senator from Tennessee and chairman o",,General,argilla_news
"WASHINGTON Reuters - U.S. Republican Senator Marco Rubio on Monday said he will vote to back President Donald Trump s nominee for secretary of state, Rex Tillerson, despite the former Exxon Mobil Corp CEO s troubling responses before lawmakers regarding Russia. Despite my reservations, I will support Mr. Tillerson s nomination in committee and in the full Senate, Rubio said in a statement posted on Facebook ahead of the Senate Foreign Relations Committee s vote on Tillerson later on Monday. A vote in the Republican-controlled Senate is expected shortly afterward.",,General,argilla_news
"GENEVA BEIRUT Reuters - Syria s government delegation quit U.N.-led peace talks in Geneva on Friday and said it would not return next week unless the opposition withdrew a statement demanding President Bashar al-Assad play no role in any interim post-war government. For us this round is over, as a government delegation. He as mediator can announce his own opinion, government chief negotiator Bashar al-Ja afari said after a morning of talks, referring to U.N. mediator Staffan de Mistura. As long as the other side sticks to the language of Riyadh 2 ... there will be no progress, Ja afari said. He was referring to a position adopted by Syrian opposition delegates at a meeting in Riyadh last week, in which they stuck to their demand that Assad be excluded from any transitional government. Ja a",,General,argilla_news
"WASHINGTON Reuters - Change at the Federal Reserve could come quickly with President-elect Donald Trump s team pledging to promptly fill high-level central bank jobs and roll out a tax and fiscal plan that could rewrite policymakers core economic assumptions. Fed officials already say their plan to gradually increase interest rates may need to be accelerated to accommodate the new administration s economic proposals, which could push inflation higher. The concerns for Fed Chair Janet Yellen are broader as she faces a 14-month window to preserve her legacy and try to ensure the central bank s independence in the face of a possible four or more Trump appointees to its seven-member Board of Governors. Yellen s term as Fed chief expires in February 2018, and Trump is likely to name a successor",,General,argilla_news
"CHICAGO Reuters - Illinois long-running budget impasse stung the state on Thursday in the U.S. municipal market where buyers of its 550 million bond issue demanded bigger yields over the market benchmark. The pricing was surprisingly soft, considering a strong rally in muni bonds on Thursday, said Greg Saulnier, a Municipal Market Data analyst. The results demonstrate that the market is increasing its penalty due to the state s worsening fiscal and political problems, leaving Illinois unable to take full advantage of the historically low borrowing rates. Bank of America Merrill Lynch won the tax-exempt general obligation deal in competitive bidding, pricing bonds due in 2026 with a 5 percent coupon to yield 3.32 percent, which is 185 basis points over MMD s triple-A yield scale. The spread",,General,argilla_news
"WASHINGTON Reuters - U.S. House Speaker Paul Ryan invited Indian Prime Minister Narendra Modi on Thursday to address a joint meeting of Congress when he visits Washington in June, an unusual show of warmth for a foreign leader. This address presents a special opportunity to hear from the elected leader of the world s most populous democracy on how our two nations can work together to promote our shared values and to increase prosperity, the Republican leader of the House of Representatives said in a statement. The invitation is a sharp turnaround for Modi, who was once barred from the United States over massacres of Muslims. Opportunities to address the House and Senate are considered a great honor. There have only been two in the past year Pope Francis, on Sept. 24, and Japanese Prime Min",,General,argilla_news
"VIC, Spain Reuters - Catalonia s pro-independence leader Carles Puigdemont has called for the European Union to mediate with Spain over the region s future, but for many Catalans the intensity of a police crackdown on a banned referendum may mean it is too late for compromise. Across Catalonia s separatist heartland of Osona county, politicians said police action, using rubber bullets and batons against voters in the independence vote, left little room in the independence camp for anything short of secession. People here have completely disconnected from the Spanish state, said Joan Coma, a councilor for the Popular Unity Candidacy CUP , a small anti-capitalist party which has an outsized influence on Puigdemont s Catalan government. Independence will be unilateral, said Coma, who police a",,General,argilla_news
"WASHINGTON Reuters - The Republican Party s Senate campaign wing has severed its fundraising deal with Alabama Republican Senate nominee Roy Moore, Politico reported on Friday, a day after allegations emerged that he initiated a sexual encounter with a 14-year-old girl when he was 32. Politico said Federal Election Commission paperwork filed on Friday showed the National Republican Senatorial Committee was no longer listed as part of a joint fundraising committee with the campaign of Moore, who is now 70, or the Alabama Republican Party and the Republican National Committee.",,General,argilla_news
"WASHINGTON Reuters - The United States is closely watching the situation in Saudi Arabia amid reported asset agreements between Saudi authorities and some detainees in an anti-corruption crackdown, U.S. Treasury Secretary Steven Mnuchin said on Friday. Asked about the agreements to hand over wealth for detainees freedom, Mnuchin told CNBC I think that the Crown Prince Mohammed bin Salman is doing a great job at transforming the country, adding that the United States was obviously monitoring the situation.",,General,argilla_news
"ROME Reuters - Italian magistrates are investigating whether a Treasury official sold confidential government information to her previous employers, Ernst Young, two judicial sources involved in the case said on Wednesday. Magistrates suspect that Susanna Masi was paid some 220,000 euros 195,290.33 between 2013-2015 in return for sensitive material, including on planned tax reforms which could have given the professional services firm an unfair advantage over its rivals, the sources said. Masi s lawyer, Giorgio Perroni, confirmed his client was being investigated but denied she had done anything wrong. Neither Ernst Young s Italian office, nor lawyers representing the company, responded to requests for comment. The judicial sources told Reuters that magistrates had emails and wiretaps to b",,General,argilla_news
