source,url,title,body,domain,sub_domain,scraped_at
TheHindu,https://www.thehindu.com/news/cities/Hyderabad/rcb-victory-celebrations-turn-unruly-as-fans-create-ruckus-across-hyderabad-after-ipl-2026-victory/article71049483.ece,RCB victory celebrations turn unruly as fans create ruckus across Hyderabad after IPL 2026 victory,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:39.562258
TheHindu,https://www.thehindu.com/sport/football/fifa-world-cup-2026-broadcast-rights-zee-entertainment-channel-streaming/article71047800.ece,FIFA World Cup 2026: India finally gets a broadcaster as Zee Entertainment secures rights,Subscribed with another email? Logout and Login with that one.,Sports,Football,2026-06-02T10:13:47.998006
TheHindu,https://www.thehindu.com/sport/tennis/french-open-2026-teen-titan-fonseca-topples-ruud-to-make-quarterfinals/article71047621.ece,French Open 2026: Teen titan Fonseca topples Ruud to make quarterfinals,Subscribed with another email? Logout and Login with that one.,Sports,Athletics,2026-06-02T10:13:51.617473
TheHindu,https://www.thehindu.com/sport/tennis/sabalenka-downs-osaka-to-reach-french-open-quarter-finals/article71050104.ece,Sabalenka downs Osaka to reach French Open quarter-finals,Subscribed with another email? Logout and Login with that one.,Sports,Athletics,2026-06-02T10:13:55.011866
TheHindu,https://www.thehindu.com/sport/other-sports/singapore-open-crown-a-tribute-to-satwik-and-chirags-resilience/article71049297.ece,Singapore Open crown a tribute to Satwik and Chirag’s resilience,Subscribed with another email? Logout and Login with that one.,Sports,General,2026-06-02T10:13:59.619509
TheHindu,https://www.thehindu.com/elections/tamil-nadu-assembly/tamil-nadu-assembly-election-2026-voting-live-updates-23-april-2026/article70894196.ece,Tamil Nadu election 2026 highlights: Over 85% voter turnout in State for the first time since Independence,Subscribed with another email? Logout and Login with that one.,Politics,Elections,2026-06-02T10:14:05.777230
TheHindu,https://www.thehindu.com/elections/west-bengal-assembly/west-bengal-assembly-elections-phase-1-voting-live-updates-23-april-2026/article70893822.ece,West Bengal Elections 2026 highlights: First phase of polling complete; estimated voter turnout crosses 92%,Subscribed with another email? Logout and Login with that one.,Politics,Elections,2026-06-02T10:14:13.063505
TheHindu,https://www.thehindu.com/elections/tamil-nadu-assembly/tamil-nadu-elections-delays-limited-bus-services-affect-polling-day-travel-across-state/article70895906.ece,"Tamil Nadu election 2026: Delays, limited bus services affect polling day travel across State",Subscribed with another email? Logout and Login with that one.,Politics,Elections,2026-06-02T10:14:17.330479
TheHindu,https://www.thehindu.com/news/international/why-is-the-strait-of-hormuz-critical-to-global-energy-flows-explained/article70865249.ece,Why is the Strait of Hormuz critical to global energy flows? | Explained,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:14:20.623781
TheHindu,https://www.thehindu.com/news/international/what-changed-in-hungarys-election-explained/article70865139.ece,What changed in Hungary’s election? | Explained,Subscribed with another email? Logout and Login with that one.,Politics,Elections,2026-06-02T10:14:23.067931
TheHindu,https://www.thehindu.com/education/what-the-trans-amendment-does-to-a-student/article70856648.ece,What the Trans Amendment does to a student,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:14:25.341872
TheHindu,https://www.thehindu.com/sci-tech/science/why-are-saturated-fats-bad-for-the-heart-but-unsaturated-fats-are-okay/article70864343.ece,Why are saturated fats bad for the heart but unsaturated fats are okay?,Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:14:27.788650
TheHindu,https://sportstar.thehindu.com/cricket/india-vs-england-test-series-result-eng-vs-ind-full-list-wins-results-tests/article69704557.ece,India in Tests in England: Full list of ENG vs IND Test series results,"Updated : Jun 20, 2025 08:46 IST , CHENNAI - 1 MIN READ",Sports,Cricket,2026-06-02T10:14:31.042254
TheHindu,https://frontline.thehindu.com/politics/arvind-kejriwal-exclusive-interview-delhi-election-2025-voting-aap-vs-bjp-vs-congress/article69131147.ece?utm_source=th&utm_medium=footer&utm_campaign=internal,Arvind Kejriwal: People will vote for kaam ki rajneeti,"Published : Jan 25, 2025 16:50 IST - 17 MINS READ Arvind Kejriwal addressing the the party’s district-level officials, in New Delhi on November 17, 2024. | Photo Credit: PTI",Politics,Elections,2026-06-02T10:14:33.084107
TheHindu,https://www.thehindu.com/news/international/30-indians-living-and-working-illegally-in-us-as-truck-drivers-arrested-will-be-deported/article71050971.ece,"30 Indians living and working illegally in U.S. as truck drivers arrested, will be deported",Subscribed with another email? Logout and Login with that one.,Crime,General,2026-06-02T10:14:38.612490
TheHindu,https://www.thehindu.com/news/national/west-bengal/trinamool-mlas-facing-threats-not-being-allowed-to-attend-party-meetings-mamata/article71049234.ece,"Trinamool MLAs facing threats, not being allowed to attend party meetings: Mamata",Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:14:44.409226
TheHindu,https://www.thehindu.com/news/cities/Delhi/government-can-take-back-its-land-when-needed-says-urban-affairs-minister-on-gymkhana-issue/article71048750.ece,"Government can take back its land when needed, says Urban Affairs Minister on Gymkhana issue",Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:14:50.061062
TheHindu,https://www.thehindu.com/news/national/bsf-bgb-to-hold-director-general-level-talks-next-week/article71049246.ece,"BSF, BGB to hold Director General-level talks next week",Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:14:54.730960
TheHindu,https://www.thehindu.com/education/cbse-portal-for-re-evaluation-opening/article71049584.ece,CBSE opens verification and re-evaluation portal,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:14:58.326736
TheHindu,https://www.thehindu.com/news/national/telangana-statehood-day-committed-to-supporting-states-growth-trajectory-says-pm-modi/article71051035.ece,"Telangana statehood Day: Committed to supporting State’s growth trajectory, says PM Modi",Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:15:02.047014
TheHindu,https://www.thehindu.com/news/national/chief-justice-of-india-surya-kant-new-judges-to-supreme-court/article71050982.ece,CJI Surya Kant to administer oath to five new Supreme Court judges,Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:15:05.607855
TheHindu,https://www.thehindu.com/news/national/government-notifies-changes-in-immigration-and-foreigners-rules-2025/article71050961.ece,"Government notifies changes in Immigration and Foreigners Rules, 2025",Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:15:08.895852
TheHindu,https://www.thehindu.com/news/national/why-do-indian-cities-get-polluted-in-summer-explained/article71048303.ece,Why do Indian cities get polluted in summer? | Explained,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:15:13.088950
TheHindu,https://www.thehindu.com/news/national/ed-attaches-assets-worth-1595-crore-in-pacl-case/article71049257.ece,"ED attaches assets worth ₹1,595 crore in PACL case",Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:15:16.507668
TheHindu,https://www.thehindu.com/news/national/telangana-cm-to-share-views-on-governance-and-welfare-delivery-at-the-hindu-huddle/article71048562.ece,Telangana CM to share views on governance and welfare delivery at The Hindu Huddle,Subscribed with another email? Logout and Login with that one.,Politics,StatePolitics,2026-06-02T10:15:20.114258
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/fire-at-mobis-plant-near-chennai-disrupts-hyundai-car-production/article71047349.ece,Fire at Mobis plant near Chennai disrupts Hyundai car production,Subscribed with another email? Logout and Login with that one.,Crime,General,2026-06-02T10:15:27.856876
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/hc-orders-inquiry-into-amassing-of-800-crore-of-chettinad-family-money-by-educationist-meena-muthiahs-employee/article71048225.ece,HC orders inquiry into amassing of ₹800 crore of Chettinad family money by educationist Meena Muthiah’s employee,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:15:32.025218
TheHindu,https://www.thehindu.com/entertainment/music/from-raaja-with-love-maestro-ilaiyaraaja-puts-on-a-mesmerising-show-in-chennai-despite-glitches/article71048139.ece,"‘From Raaja With Love’: Maestro Ilaiyaraaja puts on a mesmerising show in Chennai, despite glitches",Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:15:36.978588
TheHindu,https://www.thehindu.com/entertainment/movies/sathyendra-viral-leo-reviewer-tribute/article71048041.ece,Who was Sathyendra? The Chennai cinephile who always had questions,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:15:41.078524
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/chief-minister-vijay-promises-an-inclusive-and-corruption-free-government/article71049289.ece,Chief Minister Vijay promises inclusive and corruption-free government,Subscribed with another email? Logout and Login with that one.,Politics,StatePolitics,2026-06-02T10:15:44.282384
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/palaniswami-appeals-to-his-party-members-not-to-carryoutundesirable-and-depressing-acts/article71047811.ece,Palaniswami appeals to his party members not to carry out ‘undesirable and depressing’ acts,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:15:47.555974
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/aiadmk-functionary-found-dead-in-thanjavur-palaniswami-announces-55-lakh-solatium/article71047163.ece,AIADMK functionary found dead in Thanjavur; Palaniswami announces ₹55-lakh solatium,Subscribed with another email? Logout and Login with that one.,Crime,Murder,2026-06-02T10:15:51.030680
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/relieve-pg-teachers-from-census-duty-to-safeguard-class-12-students-interests-association/article71047424.ece,Relieve PG teachers from Census duty to safeguard Class 12 students’ interests: association,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:15:54.271854
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/every-eligible-student-in-every-village-should-be-able-to-pursue-higher-education-that-is-our-governments-goal-tn-higher-education-minister/article71048711.ece,"Every eligible student in every village should be able to pursue higher education, that is our government’s goal: T.N. Higher Education Minister",Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:15:59.212047
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/tvk-continuing-dmk-schemes-says-ezhilan/article71049592.ece,"TVK continuing DMK schemes, says Ezhilan",Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:16:03.822540
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/priya-ravichandran-assumes-office-as-collector-of-ranipet/article71049497.ece,Priya Ravichandran assumes office as Collector of Ranipet,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:16:07.577005
TheHindu,https://www.thehindu.com/videos/watch-cm-vijays-full-speech-in-trichy-why-shouldnt-i-wear-a-coat-suit/article71049965.ece,Watch: CM Vijay’s full speech in Trichy: Why shouldn’t I wear a coat suit?,Subscribed with another email? Logout and Login with that one.,Politics,StatePolitics,2026-06-02T10:16:11.745995
TheHindu,https://frontline.thehindu.com/the-nation/waqf-amendment-bill-impact-indian-muslims-reforms-consultative-process-othering-backwardness/article68849163.ece?utm_source=th&utm_medium=footer&utm_campaign=internal,Editor’s Note: Putting Muslims in their place?,"Published : Nov 12, 2024 22:01 IST - 3 MINS READ The return of Donald Trump to the White House shows how demagogues the world over are successfully convincing large swathes of voters that their continuing post-pandemic distress will vanish magically if they get rid of that one evil enemy. Trump identified this enemy as illegal immigrants and others whom he ominously called “the enemy within”, which seems to be the American equivalent of the “urban naxal”.",Technology,AI,2026-06-02T10:16:20.190526
TheHindu,https://www.thehindu.com/news/international/taiwans-lai-says-he-would-tell-trump-he-hopes-to-continue-arms-purchases-from-us/article71001445.ece,Taiwan's Lai says he would tell Trump he hopes to continue arms purchases from U.S.,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:16:23.585259
TheHindu,https://www.thehindu.com/news/national/madhya-pradesh/twisha-sharma-death-ncw-seeks-report-details-on-accused-husband/article71001554.ece,Twisha Sharma death: NCW seeks action taken report from Madhya Pradesh government,Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:16:27.078232
TheHindu,https://www.thehindu.com/news/cities/chennai/madras-high-court-summons-former-chennai-police-commissioner-arun-in-goondas-act-case-against-real-estate-developer/article71001295.ece,Madras High Court summons former Chennai Police Commissioner Arun in Goondas Act case against real estate developer,Subscribed with another email? Logout and Login with that one.,Crime,General,2026-06-02T10:16:31.025199
TheHindu,https://www.thehindu.com/shorts/pm-modi-gifts-melody-toffee-to-meloni-video-goes-viral/article71001630.ece,"PM Modi gifts Melody toffee to Meloni, video goes viral",,Sports,Cricket,2026-06-02T10:16:34.458316
TheHindu,https://www.thehindu.com/videos/why-are-pharmacies-and-chemists-across-india-protesting/article71001619.ece,Why are pharmacies and chemists across India protesting?,Subscribed with another email? Logout and Login with that one.,SocialIssues,General,2026-06-02T10:16:39.248757
TheHindu,https://www.thehindu.com/news/international/board-of-peace-will-ask-unsc-to-press-hamas-to-disarm/article71001257.ece,Board of Peace will ask UNSC to press Hamas to disarm,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:16:42.789249
TheHindu,https://www.thehindu.com/shorts/we-did-not-know-kerala-cm-vd-satheesan-responds-to-vande-mataram-controversy/article71001610.ece,‘We did not know’: Kerala CM V.D. Satheesan responds to ‘Vande Mataram’ controversy,,Politics,StatePolitics,2026-06-02T10:16:46.065412
TheHindu,https://www.thehindu.com/shorts/iran-war-to-end-very-quickly-tehran-wants-a-deal-so-badly-claims-trump/article71001604.ece,"Iran war to end very quickly, Tehran wants a deal ‘so badly’, claims Trump",,Technology,AI,2026-06-02T10:16:49.690971
TheHindu,https://www.thehindu.com/sci-tech/health/women-with-parkinsons-more-likely-to-experience-falls-report-higher-rates-of-pain-than-men-study/article71001547.ece,"Women with Parkinson's more likely to experience falls, report higher rates of pain than men: Study",Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:16:54.249486
TheHindu,https://www.thehindu.com/news/cities/puducherry/rangasamy-ministers-take-oath-as-mlas-in-puducherry/article71001412.ece,"CM Rangasamy, Ministers take oath as MLAs in Puducherry",Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:16:58.428049
TheHindu,https://www.thehindu.com/business/upi-transactions-hit-record-high-of-299-lakh-crore-in-may/article71047411.ece,UPI transactions hit record high of ₹29.9 lakh crore in May,Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:17:07.689722
TheHindu,https://www.thehindu.com/business/broader-impact-of-west-asia-crisis-to-be-felt-strongly-over-next-few-quarters-says-tci-md/article71034128.ece,"Broader impact of West Asia crisis to be felt strongly over next few quarters, says TCI MD",Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:17:12.298155
TheHindu,https://www.thehindu.com/business/factory-output-grows-at-slower-pace-of-49-in-april-shows-government-data-based-on-new-series/article71049934.ece,"Factory output grows at slower pace of 4.9% in April, shows government data based on new series",Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:17:15.792510
TheHindu,https://www.thehindu.com/business/markets/sensex-nifty-rebound-in-early-trade-on-blue-chip-buying-asian-rally/article71047037.ece,"Sensex, Nifty rebound in early trade on blue-chip buying, Asian rally",Subscribed with another email? Logout and Login with that one.,SocialIssues,General,2026-06-02T10:17:19.283786
TheHindu,https://www.thehindu.com/business/Industry/black-box-aionos-forge-alliance-to-scale-up-ai-led-infra-applications/article71047977.ece,"Black Box, AIONOS forge alliance to scale up AI-led infra, applications",Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:17:22.680778
TheHindu,https://www.thehindu.com/business/Economy/industrial-output-growth-lowers-to-49-in-april/article71048727.ece,IIP growth slows to 4.9% as new data shows dip in mining activity,Subscribed with another email? Logout and Login with that one.,Business,Economy,2026-06-02T10:17:25.974597
TheHindu,https://www.thehindu.com/business/britains-steel-safeguard-carbon-tax-sticking-points-in-implementation-of-india-uk-trade-pact-sources/article71049932.ece,"Britain's steel safeguard, carbon tax sticking points in implementation of India-U.K. trade pact: Sources",Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:17:30.831637
TheHindu,https://www.thehindu.com/business/Economy/gst-collectons-may-2026/article71047276.ece,GST collections grow 3.2% in May to ₹1.94 lakh cr,Subscribed with another email? Logout and Login with that one.,Business,Economy,2026-06-02T10:17:36.008275
TheHindu,https://www.thehindu.com/sci-tech/technology/google-parent-alphabet-plans-to-raise-80-billion-for-ai-goals-berkshire-to-invest-10-billion/article71050998.ece,Google-parent Alphabet plans to raise $80 billion for AI goals; Berkshire to invest $10 billion,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:17:40.514315
TheHindu,https://www.thehindu.com/sci-tech/technology/anthropic-confidentially-files-for-ipo/article71051005.ece,Anthropic confidentially files for IPO,Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:17:43.987109
TheHindu,https://www.thehindu.com/business/signpost-india-plans-to-expand-network-to-100-cities-by-fy27/article71049572.ece,Signpost India plans to expand network to 100 cities by FY27,Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:17:47.092925
TheHindu,https://www.thehindu.com/entertainment/music/suman-kalyanpur-1937-2026-the-silken-voice-of-hindi-cinema-falls-silent/article71048570.ece,The silken voice of Hindi cinema falls silent,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:17:56.488676
TheHindu,https://www.thehindu.com/entertainment/oscar-winning-star-wars-editor-marcia-lucas-dies-at-80/article71040524.ece,Oscar-winning ‘Star Wars’ editor Marcia Lucas dies at 80,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:17:59.852555
TheHindu,https://www.thehindu.com/entertainment/music/the-singer-who-found-his-elvis-in-pakistan-jeff-buckley-nusrat-fateh-ali-khan-and-a-beautiful-friendship-written-across-continents/article71036633.ece,"The singer who found his Elvis in Pakistan: Jeff Buckley, Nusrat Fateh Ali Khan, and a beautiful friendship written across continents",Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:03.190856
TheHindu,https://www.thehindu.com/entertainment/movies/why-pope-leo-xivs-ai-warning-has-everyone-talking-about-the-butlerian-jihad-from-dune/article71033582.ece,Why Pope Leo XIV’s AI warning has everyone talking about the Butlerian Jihad from ‘Dune’,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:06.345336
TheHindu,https://www.thehindu.com/entertainment/movies/rashmika-mandanna-interview-on-the-crunchyroll-anime-awards-2026-growing-up-with-naruto-and-learning-emotion-through-anime/article71024570.ece,"Rashmika Mandanna interview: On the Crunchyroll Anime Awards 2026, growing up with Naruto and learning emotion through anime",Subscribed with another email? Logout and Login with that one.,Entertainment,Celebrity,2026-06-02T10:18:09.897084
TheHindu,https://www.thehindu.com/entertainment/movies/star-wars-the-mandalorian-and-grogu-movie-review-not-the-expected-star-wars-reboot-grogu-charms/article71010884.ece,‘Star Wars: The Mandalorian and Grogu’ movie review: This might not be the way,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:13.212730
TheHindu,https://www.thehindu.com/entertainment/anik-dutta-obituary-the-filmmaker-who-captured-kolkatas-nostalgia-and-decay/article71032736.ece,Anik Dutta obituary: The filmmaker who captured Kolkata’s nostalgia and decay,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:16.644927
TheHindu,https://www.thehindu.com/entertainment/movies/shape-of-momo-movie-review-tribeny-rai-zoya-akhtar-reema-kagti-sikkim/article71036369.ece,‘Shape of Momo’ movie review: Beyond the perfect fold,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:20.363220
TheHindu,https://www.thehindu.com/entertainment/movies/meenakshi-shedde-payal-kapadia-semaine-de-la-critique-critics-week-jury-cannes-film-festival-2026/article71014931.ece,What no one tells you about the Cannes Film Festival,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:23.768624
TheHindu,https://www.thehindu.com/entertainment/music/the-music-academys-thematic-evening-by-v-subashris-celebrated-purandaradasa/article71020230.ece,The enduring Dasa legacy in Carnatic music,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:27.554823
TheHindu,https://www.thehindu.com/entertainment/movies/the-boys-season-5-finale-review-homelanders-apotheosis-gets-filibustered-into-irrelevance/article71028698.ece,‘The Boys’ Season 5 finale review: Homelander’s apotheosis gets filibustered into irrelevance,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:32.630429
TheHindu,https://www.thehindu.com/entertainment/art/art-in-conflict-zones-nicky-chandams-visual-documentation-of-manipur-and-the-politics-of-performance/article71031973.ece,Art in conflict zones: Nicky Chandam’s visual documentation of Manipur and the politics of performance,Subscribed with another email? Logout and Login with that one.,Politics,General,2026-06-02T10:18:36.210328
TheHindu,https://www.thehindu.com/entertainment/movies/ranveer-singh-don-3-exit-actor-reacts-as-cine-workers-body-issues-non-cooperation-directive-against-him/article71023730.ece,Ranveer Singh ‘Don 3’ exit: Actor reacts as Cine workers’ body issues non-cooperation directive against him,Subscribed with another email? Logout and Login with that one.,Entertainment,General,2026-06-02T10:18:39.892732
TheHindu,https://www.thehindu.com/news/national/tamil-nadu/five-screenings-a-day-of-tamil-films-for-one-week-from-release/article71021885.ece,Tamil Nadu CM Vijay allows five shows a day during release of films,Subscribed with another email? Logout and Login with that one.,Entertainment,RegionalCinema,2026-06-02T10:18:44.132333
TheHindu,https://www.thehindu.com/sci-tech/technology/social-media-companies-to-pay-27-million-to-settle-kentucky-school-districts-lawsuit-records-show/article71040134.ece,"Social media companies to pay $27 million to settle Kentucky school district's lawsuit, records show",Subscribed with another email? Logout and Login with that one.,SocialIssues,General,2026-06-02T10:18:52.176576
TheHindu,https://www.thehindu.com/sci-tech/technology/infosys-ceos-compensation-rises-25-to-nearly-87-million-in-fiscal-2026/article71040121.ece,Infosys CEO's compensation rises 2.5% to nearly $8.7 million in fiscal 2026,Subscribed with another email? Logout and Login with that one.,Business,Conglomerates,2026-06-02T10:18:55.439864
TheHindu,https://www.thehindu.com/sci-tech/energy-and-environment/inside-chinas-green-transition/article71037848.ece,Inside China’s green transition,Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:18:58.939518
TheHindu,https://www.thehindu.com/sci-tech/science/new-ufo-files-offer-no-answers-but-something-is-happening-in-the-skies/article71037545.ece,New UFO files offer no answers – but something is happening in the skies,Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:19:04.161742
TheHindu,https://www.thehindu.com/sci-tech/health/whatsapp-training-and-tenecteplase-injection-bring-heart-attack-care-to-rural-punjab/article71020047.ece,"WhatsApp, training and tenecteplase injection bring heart attack care to rural Punjab",Subscribed with another email? Logout and Login with that one.,SocialIssues,FarmerIssues,2026-06-02T10:19:08.409621
TheHindu,https://www.thehindu.com/sci-tech/science/space-wrap-a-blockbuster-month-for-indias-private-sector/article71035894.ece,Space Wrap: A blockbuster month for India’s private sector,Subscribed with another email? Logout and Login with that one.,Science,Space,2026-06-02T10:19:12.039419
TheHindu,https://www.thehindu.com/sci-tech/energy-and-environment/nagaland-yields-a-new-to-science-cascade-frog-species/article71040301.ece,Nagaland yields a new-to-science cascade frog species,Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:19:15.445832
TheHindu,https://www.thehindu.com/sci-tech/science/science-quiz-on-holiday-spots-for-the-really-really-brave/article71040497.ece,"Science quiz on holiday spots for the really, really brave",Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:19:18.880694
TheHindu,https://www.thehindu.com/sci-tech/technology/florida-sues-openai-ceo-sam-altman-over-chatgpt-harm-to-minors/article71051004.ece,"Florida sues OpenAI, CEO Sam Altman over ChatGPT harm to minors",Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:19:22.376962
TheHindu,https://www.thehindu.com/sci-tech/science/how-red-moved-through-empires-trade-networks-and-industrial-factories/article71048486.ece,"How red moved through empires, trade networks, and industrial factories",Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:19:27.508291
TheHindu,https://www.thehindu.com/sci-tech/science/genie-synthetic-biology-out-power-and-peril/article71041355.ece,"The genie of synthetic biology is out, and with it comes power and peril",Subscribed with another email? Logout and Login with that one.,Technology,General,2026-06-02T10:19:31.429220
TheHindu,https://www.thehindu.com/opinion/op-ed/the-femtech-industrys-approach-to-pmos/article71049916.ece,The FemTech industry’s approach to PMOS,Subscribed with another email? Logout and Login with that one.,Business,General,2026-06-02T10:19:34.979252
TheHindu,https://www.thehindu.com/opinion/op-ed/vizag-data-centre-is-a-major-challenge/article71049927.ece,Vizag data centre is a major challenge,Subscribed with another email? Logout and Login with that one.,General,General,2026-06-02T10:19:38.179319
TheHindu,https://www.thehindu.com/opinion/editorial/joy-and-pain-on-the-nfhs-6-data/article71048891.ece,​Joy and pain: On the NFHS-6 data,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:19:42.140040
TheHindu,https://www.thehindu.com/news/cities/Visakhapatnam/scor-launches-ops-in-vizag-gm-unveils-new-railway-zones-system-map/article71048983.ece,SCoR launches ops in Vizag; GM unveils new railway zone’s system map,Subscribed with another email? Logout and Login with that one.,Technology,AI,2026-06-02T10:19:51.397756
